Alphabets,Colors,Digits,Arithmetic,Shapes,Objects,Emotions,Sound,Communication,Actions,Recommended Lessons
7,0,0.37,9.7,8.74,6,9.81,0,6,1.33, Colors Digits Sound Actions
4.07,2.72,0,2,5.5,2.63,0.8,9,3,0.29,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
0,7,4.11,4.16,9,5.87,9,0,6.18,1,Alphabets Digits Arithmetic Objects Sound Actions
4.69,5,0.15,0,4.17,10,5,6,9,7.41,Alphabets Colors Digits Arithmetic Shapes Emotions
0,7,0.77,6.05,1,8.83,1.88,2.46,5,5,Alphabets Digits Shapes Emotions Sound Communication Actions
3,6.98,6.8,0.69,7.55,4.68,1.66,4.66,3.15,2,Alphabets Arithmetic Objects Emotions Sound Communication Actions
6.59,0,1.99,8,0,10,0.21,0.34,8.99,8, Colors Digits Shapes Emotions Sound
0,9,8.11,0.04,4.93,1.11,1.83,7.51,8.8,7.03,Alphabets Arithmetic Shapes Objects Emotions
5.43,2.04,1,0,7.96,0.8,0.52,8.78,0.64,8.83,Alphabets Colors Digits Arithmetic Objects Emotions Communication
9,8,1.23,5,7.95,0,4.94,6.48,3,9.58, Digits Arithmetic Objects Emotions Communication
4,3,0,1,0,4.44,9,6,9,1,Alphabets Colors Digits Arithmetic Shapes Objects Actions
5.91,2,6.57,3,6.59,3.05,0,2.16,3.6,3.1,Alphabets Colors Arithmetic Objects Emotions Sound Communication Actions
8.06,9.63,5.14,0,4.97,2.84,0.82,3.96,8,4.27, Digits Arithmetic Shapes Objects Emotions Sound Actions
6,7,4.5,0.99,1,1,1.45,6,4,10, Digits Arithmetic Shapes Objects Emotions Communication
0.07,2.95,9,0,0,0,5.25,2.82,5.69,0,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
5,1.48,5,7.36,7.77,5.15,4,8.5,6.45,7.63,Alphabets Colors Digits Objects Emotions
4.64,6.03,3.6,4.66,4.83,1.73,7.96,4,2,10,Alphabets Digits Arithmetic Shapes Objects Sound Communication
0,0,0,0.62,7,4.82,5.4,7.35,5.38,5,Alphabets Colors Digits Arithmetic Objects Emotions Communication Actions
0,5.72,2.48,8,3,5.18,1.29,4,3.7,7.44,Alphabets Colors Digits Shapes Objects Emotions Sound Communication
8,0,6.66,0,9,2,4,4,9.01,0, Colors Arithmetic Objects Emotions Sound Actions
7.66,3.77,5.4,6.92,2,4.72,1,7,4.99,4.49, Colors Digits Shapes Objects Emotions Communication Actions
3.05,7.88,5,3.24,7,8.18,8.7,3.01,0,7,Alphabets Digits Arithmetic Sound Communication
7,0.16,7.81,4.33,8.87,3,0,0.61,7,3, Colors Arithmetic Objects Emotions Sound Actions
0.09,9.42,3.55,2,3.19,4,7.31,6.97,7.55,8.11,Alphabets Digits Arithmetic Shapes Objects
0.05,7,0,10,5.9,0.04,2,4,8.58,3.98,Alphabets Digits Shapes Objects Emotions Sound Actions
1,2.92,1.42,6.54,8.05,7.19,9,3,7.92,6.54,Alphabets Colors Digits Sound
0,0,9.79,3,7.65,1.33,6.9,6.24,6.51,1,Alphabets Colors Arithmetic Objects Actions
3,3.34,0,0,7.02,0,4.81,4.5,8,10,Alphabets Colors Digits Arithmetic Objects Emotions Sound
9,8,0.41,1.35,9,6.31,5.16,3.38,1,0, Digits Arithmetic Emotions Sound Communication Actions
9,4.98,4,0,2.93,3.9,1.99,4.76,6.62,0, Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
2,0,8,2.86,4.92,7.4,9.24,1.28,8.57,6,Alphabets Colors Arithmetic Shapes Sound
5.11,8.91,10,0.94,3.87,2,6.64,7.22,1.12,7.19,Alphabets Arithmetic Shapes Objects Communication
5,4.56,4.77,0.98,9,8.37,6.29,0.89,7,8.44,Alphabets Colors Digits Arithmetic Sound
4,5.89,8,0.16,4.17,7.33,0.92,6.59,5.86,5.96,Alphabets Colors Arithmetic Shapes Emotions Communication Actions
1,2,2,1.75,0,0,6,3.53,1,4.87,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
7.08,8.38,4,0,0.77,4.27,4,4.7,4.3,7.43, Digits Arithmetic Shapes Objects Emotions Sound Communication
1.61,2.93,6.2,0,1.43,2.31,8.57,3,0,8,Alphabets Colors Arithmetic Shapes Objects Sound Communication
2.26,6.03,5.91,3,5.13,3.55,6.22,10,4.64,5.83,Alphabets Digits Arithmetic Shapes Objects Communication Actions
10,7.9,6.13,2.22,1.61,7.91,5.34,0,6.27,8, Arithmetic Shapes Emotions Sound
5.76,6.23,7.21,0.89,0.93,8.41,4.92,8,7.48,0,Alphabets Arithmetic Shapes Emotions Actions
4.47,7.57,8.07,2.93,6,6.97,5.24,2.58,0,5.05,Alphabets Arithmetic Emotions Sound Communication Actions
6.17,7,6.92,6.58,0.18,8.95,0,10,2,7.3, Shapes Emotions Communication
4,2.38,4.75,4.45,1.16,0,0.61,5,4.87,7.13,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
5,0.01,1.88,7.16,8.68,3.06,9,8,4,9,Alphabets Colors Digits Objects Communication
7.18,0,0.68,6,1.13,1.22,6.56,0,6.64,3.9, Colors Digits Shapes Objects Sound Actions
3.69,8,2.59,0,1.8,3,0.83,0,10,9.13,Alphabets Digits Arithmetic Shapes Objects Emotions Sound
5.94,4.01,4.66,4.12,7.75,7.77,2.01,3.26,3.37,0.23,Alphabets Colors Digits Arithmetic Emotions Sound Communication Actions
7.08,5.94,4,9,7.03,6,8,10,1.82,4.93, Colors Digits Communication Actions
8,7,0,0.03,0.55,9,4,6.68,1.35,9.92, Digits Arithmetic Shapes Emotions Communication
0,6.62,6,0,1.26,3.11,0,6.38,0.24,0,Alphabets Arithmetic Shapes Objects Emotions Communication Actions
4,4,2,1.76,5.95,6.92,8,5.93,6,3.54,Alphabets Colors Digits Arithmetic Shapes Sound Actions
6.03,7.68,10,0.19,6.57,5.69,4.88,0.39,7,0, Arithmetic Objects Emotions Sound Actions
3.01,2,0,9,1,4.67,5.46,6.76,9,4.59,Alphabets Colors Digits Shapes Objects Emotions Actions
0,8.12,4,0.2,0,4,0,9,0,1,Alphabets Digits Arithmetic Shapes Objects Emotions Communication Actions
3.04,0.3,5.88,4,5.73,0,6,2.65,0,7,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication
9,2.85,6.18,7.42,5.5,2.63,1.85,4,7.56,0.85, Colors Shapes Objects Emotions Sound Actions
7.84,4,2.02,3.28,5,6.08,6.68,3.11,4.35,1.01, Colors Digits Arithmetic Shapes Sound Communication Actions
8,2.16,4.64,2,0,8.54,5,7,9.21,0.15, Colors Digits Arithmetic Shapes Emotions Actions
10,0,3.46,1.09,1.9,10,7.82,4.68,1.96,5.27, Colors Digits Arithmetic Shapes Sound Communication Actions
2,4,1.81,5,0,5.94,0,2,8,4.43,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
1,4.28,5.89,6.47,5.2,1.53,6,5.37,7,6.51,Alphabets Colors Digits Shapes Objects Sound
6.43,8.38,1.72,0,5.07,6.11,3.72,4,3,0.91, Digits Arithmetic Shapes Emotions Sound Communication Actions
3,0,0,0,1.63,0,1,0,4.79,0,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
2,0,3.75,4,8.32,0,4.5,0,8.54,3.28,Alphabets Colors Digits Arithmetic Objects Emotions Sound Actions
3.54,7,6.25,0,1.48,5.87,4.01,9,6,6,Alphabets Arithmetic Shapes Objects Emotions
2,6.46,2,2.24,0.6,3,4.06,7.05,2,1.4,Alphabets Digits Arithmetic Shapes Objects Emotions Communication Actions
4.66,0,10,0,7,7.96,3.52,5.21,8,0.18,Alphabets Colors Arithmetic Emotions Sound Actions
0,3.24,10,3,3.55,5.69,1.98,0,2.37,0,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
0,10,6.65,8,2.89,1.9,6,8.87,6.86,6.46,Alphabets Shapes Objects
7.55,3,1.87,0.66,0,8,0,3.7,6,1.5, Colors Digits Arithmetic Shapes Emotions Sound Actions
3.82,6.61,7.76,9.81,4,2,0,9.81,0,4.86,Alphabets Shapes Objects Emotions Communication Actions
9,8.61,2,0,0.5,6.56,3.36,0,6.61,8.16, Digits Arithmetic Shapes Emotions Sound
0.8,0.88,6.6,1.12,0,6,2,2.88,0,6.38,Alphabets Colors Arithmetic Shapes Emotions Sound Communication
5.97,10,4.73,0,3.01,5,4.35,7,2,4,Alphabets Digits Arithmetic Shapes Objects Emotions Communication Actions
0,1.49,3.53,6.18,3.84,4,7.84,6.08,0,1.85,Alphabets Colors Digits Shapes Objects Communication Actions
9.81,5.6,0,1.49,0.94,2.41,0,0.17,2.27,9, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
7.19,3.97,1,7.1,3,0,7.14,0,9,6.73, Colors Digits Shapes Objects Sound
3.77,1,4.88,8,1.29,5.93,0,2.24,3.19,6.31,Alphabets Colors Digits Shapes Objects Emotions Sound Communication
0.86,7.79,0,0,8.08,4.61,8.81,0.73,2.09,5.02,Alphabets Digits Arithmetic Objects Sound Communication Actions
5.19,10,7.12,5.43,2,0,10,4.83,7,8.23,Alphabets Arithmetic Shapes Objects Sound
0,4.19,1,8.73,0,4.39,0,1.06,5.05,8,Alphabets Colors Digits Shapes Objects Emotions Sound Communication
0,5.63,5,6.07,4.29,1.57,3.94,8.81,9.79,7.56,Alphabets Colors Digits Shapes Objects Emotions
0,0,2.9,0,1,1.92,6.36,6.86,2.54,1.38,Alphabets Colors Digits Arithmetic Shapes Objects Communication Actions
8.7,3,5.56,6.99,5.97,0.48,7,1.45,4.49,8.73, Colors Digits Shapes Objects Sound Communication
1.26,0,0,0,6,0,6.66,6,9,6.55,Alphabets Colors Digits Arithmetic Objects
7.12,9,9.65,0,0,3.56,3.69,4.45,0,2.15, Arithmetic Shapes Objects Emotions Sound Communication Actions
6.1,0,7.07,1.31,7.75,7.74,4.96,4.34,3.81,9.15, Colors Arithmetic Emotions Sound Communication
7.1,6.37,10,2.75,2,4,4,0,0,6, Arithmetic Shapes Objects Emotions Sound Communication
3.23,1.72,1.69,1.63,0.86,0,0.45,3,0,4.74,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
2.75,0,10,0,4.83,5.47,6.45,0,0,6,Alphabets Colors Arithmetic Shapes Objects Sound Communication
6,3,6,7.52,4.54,0,0,0,6,5, Colors Shapes Objects Emotions Sound Actions
1,1,5.37,2.06,7.6,2,2.37,0,2.75,5,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
5.85,8,7.84,3.86,0,5.26,7,7.56,8.78,7.16,Alphabets Arithmetic Shapes Objects
0.19,6.4,0.56,0,5,0.04,0,7,0,6.42,Alphabets Digits Arithmetic Shapes Objects Emotions Communication
7.45,8,4.23,6,5.21,2,0,6.31,1,9, Digits Shapes Objects Emotions Communication
0,5.84,4.6,1.73,0,5.72,3.23,0,1.54,7.06,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
1.32,5,10,7.13,5,5.55,4,2.66,2.88,0,Alphabets Colors Shapes Objects Emotions Sound Communication Actions
2.14,4,4.58,6.65,2.18,8.9,0,1.58,1.18,7.63,Alphabets Colors Digits Shapes Emotions Sound Communication
5.62,0,8.27,5,4.54,4,0,7.6,6.99,2,Alphabets Colors Arithmetic Shapes Objects Emotions Actions
5.42,2.8,0,7,6.52,3,0,7.6,4.35,6.66,Alphabets Colors Digits Objects Emotions Communication
6,0.72,4.95,0,3,0.83,8.17,5.95,0,6.89, Colors Digits Arithmetic Shapes Objects Sound Communication
5,3.53,6,4.48,2.79,0.92,9,0,9,5,Alphabets Colors Arithmetic Shapes Objects Sound Actions
10,10,10,5,4.73,0.2,6.95,0.87,8,9.12, Arithmetic Shapes Objects Sound
4.59,6,1.82,6,8.76,0,2.38,7.71,0,7.83,Alphabets Digits Objects Emotions Communication
5.58,0,4.73,0,7.87,7.9,9.82,7,0,5,Alphabets Colors Digits Arithmetic Communication Actions
3.51,4,7.84,0.17,0,4,0,8.93,7.24,6.5,Alphabets Colors Arithmetic Shapes Objects Emotions
3.78,8.14,3.33,6,9.1,6.61,6.2,7,6,1.43,Alphabets Digits Actions
5,0,1.05,2.99,1.94,1,6,1.92,0,6.76,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication
1.92,6,0,0.07,5.34,7,7.81,2,8.92,4.32,Alphabets Digits Arithmetic Shapes Sound Actions
4.25,6,0.97,0,4.79,0.77,0.86,0.42,10,8.16,Alphabets Digits Arithmetic Shapes Objects Emotions Sound
7,10,2,2.8,8,1.91,6.13,0.8,5.78,10, Digits Arithmetic Objects Sound Communication
3,7.81,1.92,7,7.04,4,3.24,8.28,0.31,1.54,Alphabets Digits Objects Emotions Communication Actions
0,3.79,0,9.7,6.35,0,0,1.05,4,0.4,Alphabets Colors Digits Objects Emotions Sound Communication Actions
6.99,5.5,4,5,1.55,1.17,5.16,2,5,5.22, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
7.1,3.24,0.5,0,9,2.49,1.62,2.76,6,3.97, Colors Digits Arithmetic Objects Emotions Sound Actions
2,2.35,1.96,5.08,4.73,7.41,10,2,5.64,4,Alphabets Colors Digits Arithmetic Shapes Sound Communication Actions
3.12,0,9.26,2.51,0.34,6,7.25,8.02,6.25,9.77,Alphabets Colors Arithmetic Shapes
5,2.9,9.41,4.97,0,0,0,8,9.28,0.97,Alphabets Colors Arithmetic Shapes Objects Emotions Actions
10,4.38,7.18,2,9.51,6.99,0.4,6.75,10,1.72, Colors Arithmetic Emotions Actions
10,0,0.19,9,7,4,0,0,1.76,10, Colors Digits Objects Emotions Sound Communication
6,3.16,0,10,0,2.45,6.88,2.44,7.37,6.1, Colors Digits Shapes Objects Sound
5.88,3,6,5.37,3,9,5,4,9.23,1.82,Alphabets Colors Arithmetic Shapes Emotions Sound Actions
3.71,4.44,8,0,4.39,0,6.3,8.56,5.67,8,Alphabets Colors Arithmetic Shapes Objects Communication
9.15,0,0,8.82,10,9,5,1.33,6,1.62, Colors Digits Emotions Sound Actions
9,8,0,2.94,5.3,1.56,1.49,0,5.76,4.54, Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,4.05,5,3.82,1.93,3,0.37,5,2,6,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
2,5.17,9,0.2,4,8,5.45,5.37,8,9.34,Alphabets Colors Arithmetic Shapes Emotions Sound
0.25,1.83,2.73,0,1.93,0,4.21,0.74,0,2,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0.42,4.67,3.46,0,4.64,2.72,0.09,3,0,6.94,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
3.51,8.41,3,5.67,2.52,4.09,4,0,8,1.8,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Actions
7,0,0,0,7.15,3.68,0,5.79,0.6,2.82, Colors Digits Arithmetic Objects Emotions Sound Communication Actions
0,3.58,0.56,3.91,5.62,4.88,6.71,8.01,4.87,3.78,Alphabets Colors Digits Arithmetic Shapes Objects Communication Actions
1,6,9,3.74,3,0,0.17,6,1.97,6.75,Alphabets Arithmetic Shapes Objects Emotions Communication
3.44,9,3.97,2.41,6,4,8.72,0,4.77,1.64,Alphabets Digits Arithmetic Objects Sound Communication Actions
5,1,9.27,2.13,6,2,3,3.86,8,0.41,Alphabets Colors Arithmetic Objects Emotions Sound Actions
5.03,8,0,5,1,5.96,0.89,2.85,4.5,1,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,0,6.29,1.72,2,1,8.54,0.4,6.9,6.98,Alphabets Colors Arithmetic Shapes Objects Sound
7.99,1.46,8.46,0,6.84,4,1.33,10,1.35,3.78, Colors Arithmetic Objects Emotions Communication Actions
1.83,5,4,8.36,7.01,1.71,4.24,5.87,4.36,5,Alphabets Colors Digits Objects Emotions Sound Communication Actions
4.28,3.12,6.73,0.83,4.18,5,2.93,0,8.66,3.47,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Actions
0,0,2.1,6.71,2.16,6.4,10,5.41,2,5.46,Alphabets Colors Digits Shapes Sound Communication Actions
0,0,1.84,0,4.39,9.44,1,1.54,4.63,4.29,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
2,4,4,3.58,8.33,9.74,4.74,3.84,0,0,Alphabets Colors Digits Arithmetic Emotions Sound Communication Actions
9,7.7,3.17,7.55,8.49,2.34,2.08,6,0,1.88, Digits Objects Emotions Communication Actions
1.37,1,9,0,6.42,1,6,1.08,0,0,Alphabets Colors Arithmetic Objects Sound Communication Actions
2,1.94,6.31,2,0,7.75,1,0.93,0,4.82,Alphabets Colors Arithmetic Shapes Emotions Sound Communication Actions
10,10,6,2.08,8.9,5.92,2.04,5.13,10,0, Arithmetic Objects Emotions Sound Actions
1.41,0,0,9,0.28,4.93,9,3.85,2.79,0.78,Alphabets Colors Digits Shapes Objects Sound Communication Actions
1,0,0,6.81,0.63,5.82,1.83,0,6.93,2,Alphabets Colors Digits Shapes Objects Emotions Sound Actions
5,1.54,4.64,4,6.59,1.08,0.01,2.65,2.23,6.89,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
7.17,6.07,7.84,3.8,0.03,8,0,3,4.97,1.19, Arithmetic Shapes Emotions Sound Communication Actions
9,3.05,6,6.7,0,5.16,6.23,3.07,0,5, Colors Shapes Objects Sound Communication Actions
9.97,6,8,9,6.33,3,5,1,8.29,5.01, Objects Emotions Sound Actions
2.63,4.35,2.33,2.27,0,9.02,0,1,4.15,4.14,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
4.51,0,6,6.41,7,6.89,0,8,0,4,Alphabets Colors Emotions Communication Actions
3.88,5.54,10,0,7.93,3,8,2,9,6.07,Alphabets Colors Arithmetic Objects Sound
1.44,0,4,9,5,9,0.79,4,2,0.26,Alphabets Colors Digits Shapes Emotions Sound Communication Actions
2.11,4.92,3.05,9,0,0,3,7.4,5.7,1.12,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
7.29,0,7.34,10,1.23,2.87,6.21,0,1.12,2.94, Colors Shapes Objects Sound Communication Actions
4,0,0,1.74,2,10,3.62,9,0.87,6.37,Alphabets Colors Digits Arithmetic Shapes Emotions Communication
2,3,5.72,2.02,6,4.38,5.21,7.8,1.58,2.81,Alphabets Colors Digits Arithmetic Objects Emotions Communication Actions
2,3.6,0.57,0,3.97,5.68,3,2.51,3.54,2.23,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
9,9.42,0,4,2.37,1.89,7.59,0,3,0, Digits Arithmetic Shapes Objects Sound Communication Actions
8.34,0,0,1.78,6.15,6.02,4.86,1.1,9,5.74, Colors Digits Arithmetic Emotions Sound Actions
0.66,10,2.08,2.33,7.9,10,6.37,0,3,6,Alphabets Digits Arithmetic Sound Communication
6,8.2,8.91,7.27,1.55,8.68,2.03,3,2.88,7, Shapes Emotions Sound Communication
6.76,1.56,0,0.64,6.94,2.01,6,7,3.16,5.07, Colors Digits Arithmetic Objects Communication Actions
7.82,4.17,7.43,1.58,10,3.89,1.98,10,5,0, Colors Arithmetic Objects Emotions Communication Actions
6.88,7.54,6.67,0,4.86,0.93,10,0,7.5,7.56, Arithmetic Shapes Objects Sound
3.88,5.92,7.87,0,3,7.4,8.33,4.78,8,5,Alphabets Colors Arithmetic Shapes Sound Actions
7.48,6,4.1,3.49,0,3.65,1.92,4.14,3.04,4.99, Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
5.54,5.98,8.46,0,6.09,0.43,0.61,8.24,1.83,7.57,Alphabets Colors Arithmetic Objects Emotions Communication
6,0,0.56,0.44,8,9,2.62,6,4,0, Colors Digits Arithmetic Emotions Communication Actions
9,0.55,9.3,5.31,0.97,0,0.14,1,3.77,7.9, Colors Arithmetic Shapes Objects Emotions Sound Communication
2.88,4.04,6.08,0,6.82,7.2,3,2.41,9.88,2,Alphabets Colors Arithmetic Emotions Sound Actions
6.23,3.61,6,1,1,8.24,4.84,5,8.25,3.19, Colors Arithmetic Shapes Emotions Sound Actions
0.93,4.93,0,9,3.11,4,3.32,0,1,3.84,Alphabets Colors Digits Shapes Objects Emotions Sound Communication Actions
0,3,8.01,0,9.93,3.85,0,4.45,0,0,Alphabets Colors Arithmetic Objects Emotions Sound Communication Actions
2.19,5.42,0,0,0,6.91,7.87,0,7.49,5.86,Alphabets Colors Digits Arithmetic Shapes Sound Actions
1.24,4.31,7.19,0.37,4.35,1.52,3.16,4,0,0.83,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
6.52,5.35,9.44,0,5,1.99,5.99,8.59,7.82,9.34, Colors Arithmetic Shapes Objects Emotions
4,4,8,1.83,9.14,0,2.93,9,4.25,6.27,Alphabets Colors Arithmetic Objects Emotions Communication
8.3,0,5,0,3,0,3.45,10,9,7.88, Colors Digits Arithmetic Shapes Objects Emotions
5.06,2.76,0,1,3.55,10,2.93,5.68,3.66,8.96,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication
1,4.43,1.79,2.85,8,1.34,0,1.29,0,8,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
4.14,2.7,3,3,0,4,1,5,0.76,1.02,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
1.75,6.93,1.79,2.02,0,2.99,4.04,5.04,8,2,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Actions
6,10,2.66,5,5.64,0,5,7.08,0.03,5, Digits Arithmetic Shapes Objects Emotions Communication Actions
2,2.54,1.81,7.18,0.77,4.72,9,2,1,6,Alphabets Colors Digits Shapes Objects Sound Communication
3,0,4,4.64,7.63,4.07,7.39,0,6.18,10,Alphabets Colors Digits Arithmetic Objects Sound
7,9.93,5.53,6.2,0,10,0,9.06,3.95,6.78, Digits Shapes Emotions Communication
1.24,3,1,10,5,3.86,1,7.71,0.36,3.96,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
5.39,0.61,4.59,0.1,0,2.79,3.67,9,7.96,3.34,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Actions
2.9,0,8.03,3.06,1.5,0,3.86,0,0,10,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication
0,0,4.76,3,1.08,0.1,6.65,2,7.25,5.43,Alphabets Colors Digits Arithmetic Shapes Objects Sound Actions
1.09,1.72,0,8.81,10,6.6,0,2.12,3.98,9.51,Alphabets Colors Digits Emotions Sound Communication
4,3.8,1.27,5.84,3.64,7.91,0,5.87,9,6.53,Alphabets Colors Digits Arithmetic Shapes Emotions Sound
0,0.86,6,7,0,5,9.33,3.13,5.59,4.64,Alphabets Colors Shapes Objects Sound Communication Actions
1,2.06,10,7,6.21,5.92,5.11,5.2,4.28,3,Alphabets Colors Objects Emotions Sound Communication Actions
2,4.24,3,0.92,2.6,5.3,1,9,4.82,10,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication
3.07,1.57,9.86,7.02,7,9,0,6.81,0,4.95,Alphabets Colors Emotions Communication Actions
0,0.96,3.53,0.27,0,6,0,6.8,0,0,Alphabets Colors Digits Arithmetic Shapes Emotions Communication Actions
6.25,9.32,8.03,3,0,0,2.34,3.82,3.89,0, Arithmetic Shapes Objects Emotions Sound Communication Actions
1,2.25,2.49,0,0.27,2.16,6.3,0,0,7.32,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication
3,2.32,2.82,1.99,5,1.21,2,0.81,7.5,5.96,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
0.24,8.6,0.29,0,1.83,6,7.25,3.1,0,10,Alphabets Digits Arithmetic Shapes Sound Communication
0.73,5.64,7.64,10,1.53,1.33,2,9,0,2.15,Alphabets Colors Shapes Objects Emotions Communication Actions
9.61,3.62,5.14,0,7.86,1.29,1.84,8.85,8,4.58, Colors Digits Arithmetic Objects Emotions Actions
9,1,8.18,9.34,0,0.78,2,8,1.66,3.91, Colors Shapes Objects Emotions Communication Actions
8,2,6,5.64,1.69,5.44,6,8.53,0,1, Colors Arithmetic Shapes Objects Communication Actions
6.91,6,5.1,2.29,0.93,6,5.48,3,3.64,0, Digits Arithmetic Shapes Emotions Sound Communication Actions
5.8,4.33,0,2,1.24,2,0,5.61,2,8.4,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
0,9,8.67,8.46,7.28,3,1,1,8.21,0,Alphabets Objects Emotions Sound Actions
5,7.52,7.66,1.09,3,1.03,0.98,7,4.4,2.36,Alphabets Arithmetic Shapes Objects Emotions Communication Actions
5.33,6,1,4.42,6.96,7,5.93,4.38,0,1,Alphabets Digits Arithmetic Emotions Sound Communication Actions
7.36,3,4,6.66,5,0.34,2.95,2.63,4.89,5, Colors Digits Shapes Objects Emotions Sound Communication Actions
0.54,1.74,2,6.2,0,0.8,2,5,2,3.85,Alphabets Colors Digits Shapes Objects Emotions Sound Communication Actions
6.64,2.87,2.69,10,6,0,0.85,0.82,10,0, Colors Digits Objects Emotions Sound Actions
0,8,5.66,6,1,1,0.47,2.49,7.4,3.2,Alphabets Digits Shapes Objects Emotions Sound Actions
