Alphabets,Colors,Numbers,Arithmetic,Shapes,Objects,Emotions,Sound,Communication,Actions,Recommended Lessons
6,5,3,0,5,10,5,6,9,9, Colors Numbers Arithmetic Shapes Emotions
0,7,2,7,1,10,3,3,5,5,Alphabets Numbers Shapes Emotions Sound Communication Actions
3,10,9,3,10,5,4,5,4,2,Alphabets Arithmetic Objects Emotions Sound Communication Actions
8,1,4,8,3,10,3,1,10,8, Colors Numbers Shapes Emotions Sound
0,9,9,3,6,4,4,8,10,8,Alphabets Arithmetic Objects Emotions
6,3,1,2,10,2,3,10,1,10, Colors Numbers Arithmetic Objects Emotions Communication
9,8,2,5,9,2,7,7,3,10, Numbers Arithmetic Objects Communication
4,3,0,1,2,7,9,6,9,1,Alphabets Colors Numbers Arithmetic Shapes Actions
8,2,9,3,9,4,0,3,5,5, Colors Arithmetic Objects Emotions Sound Communication Actions
10,10,6,0,7,6,2,6,8,5, Arithmetic Emotions Actions
6,7,5,4,1,1,4,6,4,10, Numbers Arithmetic Shapes Objects Emotions Communication
3,6,9,0,1,0,7,3,7,1,Alphabets Arithmetic Shapes Objects Sound Actions
5,2,5,10,9,8,4,10,9,9,Alphabets Colors Numbers Emotions
5,8,5,6,5,3,9,4,2,10,Alphabets Numbers Shapes Objects Sound Communication
2,1,2,1,7,6,8,8,6,5,Alphabets Colors Numbers Arithmetic Actions
0,6,3,8,3,8,2,4,6,10,Alphabets Numbers Shapes Emotions Sound
8,2,7,1,9,2,4,4,10,1, Colors Arithmetic Objects Emotions Sound Actions
8,6,7,10,2,7,1,7,6,7, Shapes Emotions
5,9,5,5,7,10,9,5,0,7,Alphabets Numbers Arithmetic Sound Communication
7,3,8,7,10,3,1,2,7,3, Colors Objects Emotions Sound Actions
1,10,5,2,6,4,9,7,8,10,Alphabets Numbers Arithmetic Objects
3,7,0,10,9,2,2,4,9,5,Alphabets Numbers Objects Emotions Sound Actions
1,6,4,9,9,9,9,3,9,7,Alphabets Numbers Sound
1,0,10,3,9,2,7,9,7,1,Alphabets Colors Arithmetic Objects Actions
3,5,1,0,8,0,7,6,8,10,Alphabets Colors Numbers Arithmetic Objects
9,10,2,4,9,7,6,4,1,2, Numbers Arithmetic Sound Communication Actions
9,6,4,2,5,4,4,5,8,0, Numbers Arithmetic Shapes Objects Emotions Sound Actions
2,0,8,3,6,10,10,2,10,6,Alphabets Colors Arithmetic Sound
6,9,10,4,5,2,8,10,2,9, Arithmetic Shapes Objects Communication
5,7,6,3,9,10,8,4,7,10,Alphabets Arithmetic Sound
4,9,8,1,6,8,3,8,8,8,Alphabets Arithmetic Emotions
1,2,2,3,0,0,6,4,1,5,Alphabets Colors Numbers Arithmetic Shapes Objects Sound Communication Actions
9,9,4,1,3,7,4,5,6,8, Numbers Arithmetic Shapes Emotions Sound
4,5,8,0,4,4,9,3,0,8,Alphabets Colors Arithmetic Shapes Objects Sound Communication
4,8,9,3,7,5,8,10,6,8,Alphabets Arithmetic Objects
10,9,8,3,4,9,6,3,9,8, Arithmetic Shapes Sound
7,7,9,4,2,10,5,8,8,0, Arithmetic Shapes Emotions Actions
6,8,9,5,6,7,6,5,0,6, Arithmetic Sound Communication
8,7,7,7,3,10,1,10,2,8, Shapes Emotions Communication
4,4,6,6,3,0,3,5,8,8,Alphabets Colors Shapes Objects Emotions Sound
5,1,3,8,9,4,9,8,4,9,Alphabets Colors Numbers Objects Communication
8,1,2,6,3,2,9,0,8,7, Colors Numbers Shapes Objects Sound
6,10,4,0,5,3,1,0,10,10, Numbers Arithmetic Shapes Objects Emotions Sound
8,5,5,6,8,9,4,4,6,3, Colors Numbers Emotions Sound Actions
9,8,4,9,8,6,9,10,4,8, Numbers Communication
8,7,0,2,1,9,4,9,3,10, Numbers Arithmetic Shapes Emotions Communication
0,8,6,0,4,5,0,7,2,2,Alphabets Arithmetic Shapes Objects Emotions Communication Actions
4,4,2,2,6,9,8,7,6,6,Alphabets Colors Numbers Arithmetic
9,10,10,2,8,7,5,3,7,2, Arithmetic Emotions Sound Actions
6,2,1,9,3,7,6,7,9,6, Colors Numbers Shapes
0,9,4,3,0,4,2,9,1,1,Alphabets Numbers Arithmetic Shapes Objects Emotions Communication Actions
4,1,6,4,8,0,6,5,0,7,Alphabets Colors Arithmetic Objects Sound Communication
9,5,7,10,6,5,2,4,9,3, Colors Objects Emotions Sound Actions
9,4,4,5,5,7,8,4,5,2, Colors Numbers Arithmetic Shapes Sound Communication Actions
8,3,5,2,0,10,5,7,10,2, Colors Numbers Arithmetic Shapes Emotions Actions
10,0,5,2,5,10,10,5,3,8, Colors Numbers Arithmetic Shapes Sound Communication
2,4,5,5,0,8,0,2,8,6,Alphabets Colors Numbers Arithmetic Shapes Emotions Sound
1,6,8,7,8,3,6,6,7,8,Alphabets Objects
7,10,2,2,8,9,5,4,3,1, Numbers Arithmetic Emotions Sound Communication Actions
3,0,0,0,2,0,1,1,6,0,Alphabets Colors Numbers Arithmetic Shapes Objects Emotions Sound Actions
2,1,4,4,9,0,7,1,10,4,Alphabets Colors Numbers Arithmetic Objects Sound Actions
6,7,7,1,2,9,5,9,6,6, Arithmetic Shapes Emotions
2,9,2,5,2,3,7,10,2,3,Alphabets Numbers Arithmetic Shapes Objects Communication Actions
7,2,10,0,7,9,4,8,8,1, Colors Arithmetic Emotions Actions
3,6,10,3,4,6,3,0,5,0,Alphabets Arithmetic Shapes Emotions Sound Communication Actions
0,10,9,8,4,5,6,10,8,7,Alphabets Shapes Objects
8,3,2,1,1,8,0,6,6,4, Colors Numbers Arithmetic Shapes Emotions Actions
4,7,8,10,4,2,0,10,2,5,Alphabets Shapes Objects Emotions Communication Actions
9,9,2,0,2,7,4,0,8,9, Numbers Arithmetic Shapes Emotions Sound
2,1,7,3,0,6,2,5,0,8,Alphabets Colors Arithmetic Shapes Emotions Sound Communication
7,10,5,0,5,5,7,7,2,4, Numbers Arithmetic Shapes Objects Communication Actions
3,4,5,7,7,4,8,9,0,4,Alphabets Colors Numbers Objects Communication Actions
10,6,0,2,4,5,0,2,4,9, Numbers Arithmetic Shapes Objects Emotions Sound Communication
9,5,1,10,3,0,8,0,9,9, Colors Numbers Shapes Objects Sound
4,1,8,8,3,8,2,4,6,8,Alphabets Colors Shapes Emotions Sound
1,10,3,2,10,6,10,3,5,8,Alphabets Numbers Arithmetic Sound Communication
8,10,9,7,2,1,10,8,7,10, Shapes Objects
0,5,1,9,3,7,0,4,8,8,Alphabets Colors Numbers Shapes Emotions Sound
0,7,5,7,6,2,6,9,10,8,Alphabets Numbers Objects
2,0,6,1,1,4,9,8,4,4,Alphabets Colors Arithmetic Shapes Objects Communication Actions
9,3,6,9,9,3,7,4,5,10, Colors Objects Sound Communication
4,0,0,0,8,2,8,6,9,8,Alphabets Colors Numbers Arithmetic Objects
9,9,10,0,0,4,5,5,0,4, Arithmetic Shapes Objects Emotions Sound Communication Actions
8,3,8,2,8,9,5,7,4,10, Colors Arithmetic Emotions Communication
9,9,10,5,2,4,4,0,0,6, Arithmetic Shapes Objects Emotions Sound Communication
6,4,3,2,3,0,2,3,1,6, Colors Numbers Arithmetic Shapes Objects Emotions Sound Communication
4,0,10,0,8,6,8,0,1,6,Alphabets Colors Arithmetic Sound Communication
6,3,6,9,5,0,0,0,6,5, Colors Shapes Objects Emotions Sound Actions
1,1,8,3,8,2,4,0,4,5,Alphabets Colors Arithmetic Objects Emotions Sound Communication Actions
7,8,8,4,2,6,7,9,10,10, Arithmetic Shapes
3,9,3,0,5,1,1,7,0,8,Alphabets Numbers Arithmetic Shapes Objects Emotions Communication
8,8,5,6,7,2,1,7,1,9, Numbers Objects Emotions Communication
0,6,7,2,0,8,5,0,3,8,Alphabets Arithmetic Shapes Emotions Sound Communication
2,5,10,8,5,8,4,5,3,1,Alphabets Colors Shapes Emotions Sound Communication Actions
3,4,5,8,3,9,1,2,3,9,Alphabets Colors Numbers Shapes Emotions Sound Communication
7,0,10,5,6,4,1,10,8,2, Colors Arithmetic Objects Emotions Actions
7,4,0,7,8,3,0,10,7,8, Colors Numbers Objects Emotions
6,3,7,0,3,2,10,9,3,10, Colors Arithmetic Shapes Objects Communication
5,6,6,5,4,1,9,0,9,5,Alphabets Arithmetic Shapes Objects Sound Actions
10,10,10,5,7,1,7,3,8,10, Arithmetic Objects Sound
7,7,5,6,9,0,5,9,1,10, Numbers Objects Emotions Communication
7,0,6,0,9,8,10,7,0,5, Colors Arithmetic Communication Actions
4,4,9,1,1,4,1,9,9,8,Alphabets Colors Arithmetic Shapes Objects Emotions
6,10,5,6,10,8,9,7,6,2, Numbers Actions
5,0,2,3,2,1,6,4,1,8,Alphabets Colors Numbers Arithmetic Shapes Objects Sound Communication
3,6,1,3,8,7,8,4,9,5,Alphabets Numbers Arithmetic Sound Actions
7,8,2,0,7,2,2,2,10,10, Numbers Arithmetic Objects Emotions Sound
7,10,2,5,8,3,8,2,8,10, Numbers Arithmetic Objects Sound
3,10,5,7,10,4,4,10,2,4,Alphabets Numbers Objects Emotions Communication Actions
1,4,2,10,7,0,0,2,4,1,Alphabets Colors Numbers Objects Emotions Sound Communication Actions
10,7,4,5,3,3,6,2,5,8, Numbers Arithmetic Shapes Objects Sound Communication
9,6,2,0,9,5,2,4,6,6, Numbers Arithmetic Objects Emotions Sound
2,3,2,8,5,10,10,2,7,4,Alphabets Colors Numbers Shapes Sound Actions
6,0,10,3,2,6,9,10,8,10, Colors Arithmetic Shapes
5,5,10,5,1,0,1,8,10,1,Alphabets Colors Arithmetic Shapes Objects Emotions Actions
10,6,9,2,10,9,3,8,10,2, Arithmetic Emotions Actions
10,0,1,9,7,4,1,1,4,10, Colors Numbers Objects Emotions Sound Communication
6,4,0,10,1,3,7,3,10,8, Colors Numbers Shapes Objects Sound
9,3,6,6,3,9,5,4,10,4, Colors Shapes Emotions Sound Actions
4,7,8,0,5,1,7,9,7,8,Alphabets Arithmetic Shapes Objects
10,1,1,10,10,9,5,4,6,3, Colors Numbers Emotions Sound Actions
9,8,0,3,8,4,2,1,8,7, Numbers Arithmetic Objects Emotions Sound
0,7,8,7,3,3,3,5,2,6,Alphabets Shapes Objects Emotions Sound Communication
2,7,9,1,4,8,7,8,8,10,Alphabets Arithmetic Shapes
2,3,3,0,2,1,7,2,1,2,Alphabets Colors Numbers Arithmetic Shapes Objects Sound Communication Actions
3,7,5,0,6,4,1,3,0,8,Alphabets Numbers Arithmetic Objects Emotions Sound Communication
6,10,3,6,3,7,4,1,8,4, Numbers Shapes Emotions Sound Actions
7,2,2,1,8,6,0,8,3,3, Colors Numbers Arithmetic Emotions Communication Actions
2,4,3,5,6,8,8,9,7,5,Alphabets Colors Numbers Arithmetic Actions
1,6,9,5,3,0,3,6,3,9,Alphabets Arithmetic Shapes Objects Emotions Communication
6,9,5,4,6,4,9,0,7,3, Numbers Arithmetic Objects Sound Actions
5,1,10,5,6,2,3,4,8,1,Alphabets Colors Arithmetic Objects Emotions Sound Actions
6,8,1,5,1,6,2,6,5,1, Numbers Arithmetic Shapes Emotions Communication Actions
0,0,9,3,2,1,10,3,7,10,Alphabets Colors Arithmetic Shapes Objects Sound
10,2,10,0,9,4,2,10,2,4, Colors Arithmetic Objects Emotions Communication Actions
4,5,4,9,8,4,6,8,6,5,Alphabets Colors Numbers Objects Actions
6,5,9,2,5,5,3,2,10,5, Colors Arithmetic Shapes Objects Emotions Sound Actions
1,1,3,9,4,9,10,6,2,7,Alphabets Colors Numbers Shapes Communication
0,1,2,0,7,10,1,4,6,6,Alphabets Colors Numbers Arithmetic Emotions Sound
2,4,4,6,9,10,5,6,2,1,Alphabets Colors Numbers Emotions Communication Actions
9,9,4,9,10,4,3,6,0,5, Numbers Objects Emotions Communication Actions
3,1,9,0,9,1,6,3,1,2,Alphabets Colors Arithmetic Objects Sound Communication Actions
2,2,8,2,1,9,1,3,2,6,Alphabets Colors Arithmetic Shapes Emotions Sound Communication
10,10,6,4,9,7,4,7,10,0, Arithmetic Emotions Actions
4,1,1,9,1,8,9,6,3,1,Alphabets Colors Numbers Shapes Communication Actions
1,0,0,7,3,7,5,0,8,2,Alphabets Colors Numbers Shapes Emotions Sound Actions
5,4,5,4,8,2,2,5,4,10,Alphabets Colors Numbers Arithmetic Objects Emotions Sound Communication
10,7,9,6,1,8,0,3,7,3, Shapes Emotions Sound Actions
9,5,6,7,0,7,7,5,0,5, Colors Shapes Sound Communication Actions
10,6,8,9,7,3,5,1,9,8, Objects Emotions Sound
5,6,3,4,0,10,2,1,7,5,Alphabets Numbers Arithmetic Shapes Emotions Sound Actions
5,0,6,7,7,10,0,8,0,7,Alphabets Colors Emotions Communication
7,8,10,0,10,3,8,2,9,9, Arithmetic Objects Sound
2,0,4,9,5,9,3,4,2,3,Alphabets Colors Numbers Shapes Emotions Sound Communication Actions
5,8,4,9,0,2,3,10,7,4,Alphabets Numbers Shapes Objects Emotions Actions
9,1,9,10,3,4,8,0,3,5, Colors Shapes Objects Sound Communication Actions
4,0,0,3,2,10,6,9,2,9,Alphabets Colors Numbers Arithmetic Shapes Communication
2,3,8,5,6,7,6,8,2,3,Alphabets Colors Arithmetic Communication Actions
2,5,2,1,5,6,3,5,6,3,Alphabets Colors Numbers Arithmetic Shapes Emotions Sound Actions
9,10,2,4,5,5,8,1,3,0, Numbers Arithmetic Shapes Objects Sound Communication Actions
9,1,2,2,7,8,6,3,9,7, Colors Numbers Arithmetic Sound
1,10,5,4,10,10,8,1,3,6,Alphabets Numbers Arithmetic Sound Communication
6,10,10,9,2,9,4,3,3,7, Shapes Emotions Sound Communication
8,2,0,2,10,5,6,7,4,7, Colors Numbers Arithmetic Objects Communication
10,6,10,2,10,5,2,10,5,0, Arithmetic Objects Emotions Communication Actions
10,8,9,1,8,4,10,1,8,10, Arithmetic Objects Sound
5,9,10,0,3,8,9,5,8,5,Alphabets Arithmetic Shapes Sound Actions
9,6,6,4,2,4,2,6,6,5, Arithmetic Shapes Objects Emotions Actions
7,7,9,0,9,2,2,10,2,8, Arithmetic Objects Emotions Communication
6,1,2,3,8,9,5,6,4,1, Colors Numbers Arithmetic Emotions Communication Actions
9,3,10,8,2,0,3,1,4,9, Colors Shapes Objects Emotions Sound Communication
6,5,7,0,7,8,3,4,10,2, Colors Arithmetic Emotions Sound Actions
9,5,6,3,1,9,7,5,9,5, Colors Arithmetic Shapes Sound Actions
3,7,0,9,5,4,5,0,1,5,Alphabets Numbers Shapes Objects Emotions Sound Communication Actions
1,3,9,1,10,5,0,5,1,0,Alphabets Colors Arithmetic Objects Emotions Sound Communication Actions
3,6,0,2,0,9,10,0,9,6,Alphabets Numbers Arithmetic Shapes Sound
4,6,9,2,7,2,5,4,1,2,Alphabets Arithmetic Objects Emotions Sound Communication Actions
9,8,10,0,5,4,6,9,10,10, Arithmetic Shapes Objects
4,4,8,5,10,0,3,9,6,9,Alphabets Colors Arithmetic Objects Emotions
9,0,5,2,3,1,4,10,10,9, Colors Numbers Arithmetic Shapes Objects Emotions
7,4,0,1,6,10,6,6,5,10, Colors Numbers Arithmetic Communication
1,7,4,5,8,2,0,3,0,8,Alphabets Numbers Arithmetic Objects Emotions Sound Communication
5,5,3,3,1,4,1,5,1,2,Alphabets Colors Numbers Arithmetic Shapes Objects Emotions Sound Communication Actions
4,10,2,3,0,6,5,7,8,2,Alphabets Numbers Arithmetic Shapes Emotions Actions
6,10,5,5,6,1,5,8,3,5, Numbers Arithmetic Objects Emotions Communication Actions
2,3,3,10,1,6,9,2,1,6,Alphabets Colors Numbers Shapes Sound Communication
3,0,4,5,8,6,9,0,9,10,Alphabets Colors Numbers Arithmetic Sound
7,10,8,8,0,10,0,10,5,7, Shapes Emotions Communication
3,3,1,10,5,7,1,10,3,4,Alphabets Colors Numbers Shapes Emotions Communication Actions
8,2,7,1,1,4,4,9,9,6, Colors Arithmetic Shapes Objects Emotions
5,0,9,6,3,0,6,0,3,10,Alphabets Colors Shapes Objects Sound Communication
0,1,5,3,2,1,9,2,10,6,Alphabets Colors Numbers Arithmetic Shapes Objects Sound
2,3,0,10,10,7,1,3,6,10,Alphabets Colors Numbers Emotions Sound
4,4,4,7,6,8,0,9,9,9,Alphabets Colors Numbers Emotions
0,4,6,7,1,5,10,6,8,7,Alphabets Colors Shapes Objects
1,3,10,10,8,9,6,8,5,3,Alphabets Colors Communication Actions
2,6,3,2,3,7,1,9,5,10,Alphabets Numbers Arithmetic Shapes Emotions Communication
5,4,10,8,7,9,2,7,0,7,Alphabets Colors Emotions Communication
0,3,4,2,2,6,2,8,3,0,Alphabets Colors Numbers Arithmetic Shapes Emotions Communication Actions
9,10,9,3,0,1,5,5,5,0, Arithmetic Shapes Objects Emotions Sound Communication Actions
1,4,4,2,2,5,9,0,0,10,Alphabets Colors Numbers Arithmetic Shapes Objects Sound Communication
3,4,3,5,5,2,2,3,9,7,Alphabets Colors Numbers Arithmetic Shapes Objects Emotions Sound
3,10,3,0,4,6,9,4,1,10,Alphabets Numbers Arithmetic Shapes Sound Communication
2,8,8,10,4,4,2,9,1,5,Alphabets Shapes Objects Emotions Communication Actions
10,4,8,0,8,2,2,10,8,5, Colors Arithmetic Objects Emotions Actions
9,1,10,10,0,2,2,8,4,5, Colors Shapes Objects Emotions Communication Actions
8,2,6,8,3,8,6,9,0,1, Colors Shapes Communication Actions
9,6,6,5,3,6,6,3,4,0, Arithmetic Shapes Sound Communication Actions
6,6,0,2,4,2,2,6,2,9, Numbers Arithmetic Shapes Objects Emotions Communication
1,9,10,9,9,3,1,1,9,0,Alphabets Objects Emotions Sound Actions
5,10,10,2,3,2,4,7,6,4,Alphabets Arithmetic Shapes Objects Emotions Actions
7,6,1,6,7,7,6,6,1,1, Numbers Communication Actions
10,3,4,9,5,1,3,4,6,5, Colors Numbers Shapes Objects Emotions Sound Actions
1,4,2,8,0,3,2,5,2,4,Alphabets Colors Numbers Shapes Objects Emotions Sound Communication Actions
9,4,4,10,6,0,3,3,10,0, Colors Numbers Objects Emotions Sound Actions
1,8,6,6,1,1,3,3,8,5,Alphabets Shapes Objects Emotions Sound Actions
1,7,6,2,4,0,8,5,2,1,Alphabets Arithmetic Shapes Objects Sound Communication Actions
6,6,3,0,10,10,3,10,3,5, Numbers Arithmetic Emotions Communication Actions
6,9,2,5,5,5,10,7,3,1, Numbers Arithmetic Shapes Objects Communication Actions
9,0,5,8,9,8,7,2,7,1, Colors Numbers Sound Actions
3,2,3,6,10,7,7,1,0,9,Alphabets Colors Numbers Sound Communication
2,1,10,5,3,0,1,10,3,6,Alphabets Colors Arithmetic Shapes Objects Emotions Communication
7,1,8,9,8,2,7,4,1,5, Colors Objects Sound Communication Actions
1,7,6,0,7,5,7,2,4,1,Alphabets Arithmetic Objects Sound Communication Actions
6,5,3,7,8,2,9,7,10,7, Colors Numbers Objects
3,7,9,9,3,1,9,4,8,8,Alphabets Shapes Objects Sound
5,8,1,9,10,1,7,4,10,6,Alphabets Numbers Objects Sound
3,5,4,2,7,7,4,9,1,7,Alphabets Colors Numbers Arithmetic Emotions Communication
8,10,0,6,7,9,1,3,5,10, Numbers Emotions Sound Communication
9,0,4,9,4,4,4,6,5,9, Colors Numbers Shapes Objects Emotions Communication
4,2,6,0,1,5,10,6,2,1,Alphabets Colors Arithmetic Shapes Objects Communication Actions
2,4,9,10,2,3,6,9,3,6,Alphabets Colors Shapes Objects Communication
2,1,2,7,0,9,6,5,8,0,Alphabets Colors Numbers Shapes Sound Actions
6,2,8,3,5,5,10,1,7,0, Colors Arithmetic Shapes Objects Sound Actions
5,10,5,4,0,9,6,6,0,7,Alphabets Numbers Arithmetic Shapes Communication
0,3,4,1,7,5,2,9,2,0,Alphabets Colors Numbers Arithmetic Objects Emotions Communication Actions
4,8,0,4,1,5,2,2,8,8,Alphabets Numbers Arithmetic Shapes Objects Emotions Sound
6,4,2,0,6,8,5,3,6,3, Colors Numbers Arithmetic Emotions Sound Actions
4,6,4,6,9,5,3,4,8,4,Alphabets Numbers Objects Emotions Sound Actions
1,0,9,1,10,0,0,8,8,10,Alphabets Colors Arithmetic Objects Emotions
4,5,4,9,8,0,5,7,2,9,Alphabets Colors Numbers Objects Emotions Communication
10,10,10,6,10,6,4,9,5,6, Emotions Communication
5,4,3,7,2,5,4,10,6,3,Alphabets Colors Numbers Shapes Objects Emotions Actions
3,4,8,9,6,1,7,9,5,10,Alphabets Colors Objects Communication
6,3,3,2,7,3,1,1,5,10, Colors Numbers Arithmetic Objects Emotions Sound Communication
3,2,5,2,2,10,10,9,6,8,Alphabets Colors Numbers Arithmetic Shapes
8,1,6,7,9,2,7,8,5,0, Colors Objects Communication Actions
2,4,4,10,7,7,5,2,10,4,Alphabets Colors Numbers Emotions Sound Actions
1,7,3,3,9,3,2,3,2,1,Alphabets Numbers Arithmetic Objects Emotions Sound Communication Actions
1,5,3,7,7,1,10,1,1,8,Alphabets Colors Numbers Objects Sound Communication
7,6,0,9,5,9,9,2,3,5, Numbers Shapes Sound Communication Actions
5,2,4,10,7,0,4,7,5,6,Alphabets Colors Numbers Objects Emotions Communication
4,6,9,4,2,3,0,4,6,0,Alphabets Arithmetic Shapes Objects Emotions Sound Actions
0,6,8,4,4,1,8,8,5,8,Alphabets Arithmetic Shapes Objects Communication
4,6,10,4,4,8,9,6,0,7,Alphabets Arithmetic Shapes Communication
1,10,2,6,5,7,10,3,8,10,Alphabets Numbers Shapes Sound
6,5,2,7,3,9,9,9,5,10, Colors Numbers Shapes Communication
9,4,6,6,5,10,3,7,8,3, Colors Shapes Emotions Actions
6,6,3,2,3,7,9,2,4,0, Numbers Arithmetic Shapes Sound Communication Actions
10,9,9,1,9,10,2,6,7,9, Arithmetic Emotions
4,1,9,3,4,5,5,7,6,10,Alphabets Colors Arithmetic Shapes Objects Emotions
10,5,2,7,10,8,4,4,10,3, Colors Numbers Emotions Sound Actions
0,6,10,9,5,3,8,5,2,8,Alphabets Shapes Objects Sound Communication
5,9,9,3,8,5,1,0,6,5,Alphabets Arithmetic Objects Emotions Sound Actions
1,0,7,3,5,4,9,6,9,10,Alphabets Colors Arithmetic Shapes Objects
4,7,9,5,8,1,0,10,0,10,Alphabets Arithmetic Objects Emotions Communication
2,7,3,10,3,10,4,7,1,10,Alphabets Numbers Shapes Emotions Communication
2,2,8,8,7,10,2,0,1,0,Alphabets Colors Emotions Sound Communication Actions
5,1,5,3,2,9,0,7,4,5,Alphabets Colors Numbers Arithmetic Shapes Emotions Communication Actions
2,1,5,2,4,8,9,1,3,9,Alphabets Colors Numbers Arithmetic Shapes Sound Communication
9,2,0,1,6,4,5,5,3,5, Colors Numbers Arithmetic Objects Emotions Sound Communication Actions
2,8,1,5,5,4,10,6,7,4,Alphabets Numbers Arithmetic Shapes Objects Actions
4,1,8,6,8,6,6,4,1,3,Alphabets Colors Sound Communication Actions
5,9,1,0,6,7,5,1,7,6,Alphabets Numbers Arithmetic Emotions Sound
4,3,8,10,8,10,0,7,1,3,Alphabets Colors Emotions Communication Actions
4,4,4,0,6,3,1,8,5,4,Alphabets Colors Numbers Arithmetic Objects Emotions Communication Actions
4,6,2,2,6,9,7,2,2,5,Alphabets Numbers Arithmetic Sound Communication Actions
3,2,9,10,6,5,8,10,0,10,Alphabets Colors Objects Communication
6,9,8,10,4,1,0,6,5,7, Shapes Objects Emotions Communication
8,2,6,6,10,4,0,3,1,9, Colors Objects Emotions Sound Communication
8,2,9,10,1,2,3,5,3,9, Colors Shapes Objects Emotions Sound Communication
7,9,3,4,10,0,1,5,6,6, Numbers Arithmetic Objects Emotions Sound
3,10,6,9,4,7,10,8,4,10,Alphabets Shapes Communication
7,0,2,10,5,0,1,9,7,1, Colors Numbers Shapes Objects Emotions Actions
5,2,9,9,0,5,4,2,5,8,Alphabets Colors Shapes Objects Emotions Sound Communication
2,9,4,7,5,10,0,1,6,4,Alphabets Numbers Shapes Emotions Sound Actions
1,7,5,5,7,0,10,9,10,10,Alphabets Numbers Arithmetic Objects
1,1,10,5,0,2,2,4,2,9,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication
3,1,2,3,6,10,7,8,5,9,Alphabets Colors Numbers Arithmetic Communication
8,6,9,7,0,1,4,8,6,3, Shapes Objects Emotions Actions
9,4,8,2,4,3,9,4,0,10, Colors Arithmetic Shapes Objects Sound Communication
8,1,2,6,6,7,4,9,4,10, Colors Numbers Emotions Communication
4,1,1,2,1,5,7,8,2,6,Alphabets Colors Numbers Arithmetic Shapes Objects Communication
9,5,3,4,1,7,0,4,4,9, Colors Numbers Arithmetic Shapes Emotions Sound Communication
8,0,9,10,1,7,8,7,3,8, Colors Shapes Communication
7,4,8,9,6,9,10,2,6,7, Colors Sound
4,10,5,5,3,7,3,6,8,8,Alphabets Numbers Arithmetic Shapes Emotions
5,2,7,7,1,10,1,0,10,3,Alphabets Colors Shapes Emotions Sound Actions
1,0,4,2,8,9,8,10,9,3,Alphabets Colors Numbers Arithmetic Actions
5,1,6,1,6,5,4,3,0,2,Alphabets Colors Arithmetic Objects Emotions Sound Communication Actions
3,3,2,1,9,5,7,1,2,7,Alphabets Colors Numbers Arithmetic Objects Sound Communication
6,7,8,0,5,2,0,6,0,6, Arithmetic Shapes Objects Emotions Communication
6,6,6,3,2,3,8,1,8,6, Arithmetic Shapes Objects Sound
5,9,9,3,9,2,10,9,10,4,Alphabets Arithmetic Objects Actions
1,0,1,0,1,7,0,0,8,2,Alphabets Colors Numbers Arithmetic Shapes Emotions Sound Actions
8,1,9,9,8,9,0,7,4,3, Colors Emotions Communication Actions
